atomic_ea_max,atomic_en_allredroch_sum,atomic_radius_max,atomic_radius_calculated_max,bulk_mod_max,covalent_rad_emp_max,covalent_rad_emp_sum,electrical_resist_max,rigidity_mod_max,van_der_waals_rad_mean,entalpia_oxides_min,entropia_oxides_min,Z_sum,phase_disambiguated
23.68,1.606,30.0,31.2,36.0,27.6,129.0,2.0,16.4,48.48,-330305.98,-109.7254,25.0,multiphase
10.0,1.15,37.0,45.2,22.0,32.4,92.0,17.2,6.600000000000001,53.88,-762119.38,-119.2864,55.4,fluorite
9.75,1.15425,36.075,44.07,21.45,31.59,93.1,16.77,6.435,44.80249999999999,-743066.3955,-116.30424,54.565,fluorite
9.5,1.1585,35.15,42.94,20.9,30.78,94.2,16.34,6.27,44.70500000000001,-724013.411,-113.32208,53.73,fluorite
9.25,1.16275,34.225,41.81,20.35,29.97,95.3,15.91,6.105,44.60749999999999,-704960.4265,-110.33992,52.895,fluorite
22.4,1.65,28.0,33.2,36.0,27.8,127.6,28.8,23.0,48.56,-450821.78,-109.7254,26.0,multiphase
4.800000000000001,1.223,70.0,88.0,55.0,68.0,156.0,20.0,22.0,43.85,-472374.45,-92.6665,36.3,perovskite
19.2,1.356,78.0,21.9,18.0,67.60000000000001,150.6,24.6,11.5,38.42857142857143,-1434945.92,-235.1812,39.6,perovskite
10.0,1.142,39.0,49.40000000000001,22.0,33.8,125.8,14.0,6.600000000000001,54.8,-762119.38,-119.8624,53.4,fluorite
12.0,1.134284,48.75,53.0,18.337,42.25,132.4266,15.375,6.5,55.22197999999999,-952649.225,-149.006,52.50044995500448,fluorite
10.46405,1.648004,93.31,103.974,113.305,83.3125,127.6013,6.665,54.653,40.51103333333333,-1100744.67835,-365.6598954999999,28.1344,spinel
10.46719,1.641662,93.338,104.0052,113.339,83.33749999999999,128.4934,9.6048,54.6694,40.57474999999999,-1101074.98433,-365.7696208999999,28.00059988002399,spinel
10.46719,1.638327,93.338,104.0052,113.339,83.33749999999999,128.8269,9.6048,54.6694,40.57474999999999,-1101074.98433,-365.7696208999999,27.93391321735653,spinel
10.46562,1.637997,93.324,103.9896,113.322,83.325,127.6674,9.6048,54.6612,40.58893333333333,-1100909.83134,-365.7147581999999,27.8672,spinel
10.46719,1.64433,93.338,104.0052,113.339,83.33749999999999,128.1599,9.6048,54.6694,40.58586666666667,-1101074.98433,-365.7696208999999,27.8005398920216,spinel
